orden,n_comp,fecha_emision,cod_cliente,figura,importe,bonif_sin_imp,imp_gravado,imp_exento,imp_iva,montib,gastadmi,boniflibro,bonifcosme,bonifpract,porclider,boniflider,bonifivadic,zona
1,"B0000301172901","2021-09-24",5066409,2,6767.47,1495.47,5592.95,0.00,1174.52,279.65000000000,"143.09",0.00,"719.98","775.48","","0.00","0.00",703
2,"B0000301172902","2021-09-24",5375037,2,4571.63,1514.95,3778.21,0.00,793.42,188.91000000000,"96.66",0.00,"1307.96","206.99","","0.00","0.00",703
3,"B0000301172903","2021-09-24",5724651,2,7885.11,1861.46,6516.62,0.00,1368.49,325.83000000000,"166.72",0.00,"848.97","1012.48","","0.00","0.00",703
4,"B0000301172904","2021-09-24",5760909,2,7894.80,2291.94,6524.63,0.00,1370.17,326.23000000000,"166.92",0.00,"1577.96","713.98","","0.00","0.00",703
5,"B0000301172905","2021-09-24",8055378,10,11453.56,1978.47,8566.29,0.00,2887.27,428.31000000000,"242.17",0.00,"0.00","1978.47","","0.00","1088.35",703
6,"B0000301172906","2021-09-24",10403205,2,4948.53,965.97,4089.69,0.00,858.84,0.00000000000,"104.63",0.00,"188.99","776.98","","0.00","0.00",703
7,"B0000301172907","2021-09-24",10948309,10,15893.23,4162.41,11886.79,0.00,4006.44,594.34000000000,"336.04",0.00,"2384.96","1777.46","","0.00","1510.22",703
8,"B0000301172908","2021-09-24",10948392,2,2018.61,193.99,1668.27,0.00,350.34,83.41000000000,"42.68",0.00,"52.00","141.99","","0.00","0.00",703
9,"B0000301172909","2021-09-24",10948546,2,1878.71,390.99,1552.66,0.00,326.06,77.63000000000,"39.72",0.00,"375.99","15.00","","0.00","0.00",703
10,"B0000301172910","2021-09-24",11054115,10,11058.64,3154.93,8270.92,0.00,2787.71,413.55000000000,"233.82",0.00,"2152.95","1001.98","","0.00","1050.82",703
11,"B0000301172911","2021-09-24",11273070,10,10187.15,2727.91,7619.12,0.00,2568.03,380.96000000000,"215.39",0.00,"1860.94","866.97","","0.00","968.01",703
12,"B0000301172912","2021-09-24",11362286,10,13034.82,3760.39,9748.94,0.00,3285.88,487.45000000000,"275.60",0.00,"2534.93","1225.46","","0.00","1238.60",703
13,"B0000301172913","2021-09-24",11569972,2,5312.24,919.98,4390.28,0.00,921.96,219.51000000000,"112.32",0.00,"683.99","235.99","","0.00","0.00",703
14,"B0000301172914","2021-09-24",11969334,10,15069.87,3418.42,11270.99,0.00,3798.89,676.26000000000,"318.63",0.00,"1385.97","2032.45","","0.00","1431.98",703
15,"B0000301172915","2021-09-24",12119466,10,11458.62,3103.43,8570.07,0.00,2888.54,428.50000000000,"242.27",0.00,"1910.94","1192.48","","0.00","1088.83",703
16,"B0000301172916","2021-09-24",12358290,10,23082.21,5815.36,17263.54,0.00,5818.67,863.18000000000,"488.03",0.00,"3047.91","2767.45","","0.00","2193.33",703
17,"B0000301172917","2021-09-24",12485012,2,1585.48,307.99,1310.31,0.00,275.17,65.52000000000,"33.52",0.00,"243.99","64.00","","0.00","0.00",703
18,"B0000301172918","2021-09-24",12485373,2,4865.28,1357.46,4020.89,0.00,844.39,201.04000000000,"102.87",0.00,"938.97","418.49","","0.00","0.00",703
19,"B0000301172919","2021-09-24",12500747,2,5801.06,1531.46,4794.26,0.00,1006.80,239.71000000000,"122.65",0.00,"899.97","631.48","","0.00","0.00",703
20,"B0000301172920","2021-09-24",12525006,2,5197.86,741.98,4295.75,0.00,902.11,214.79000000000,"109.90",0.00,"317.99","423.99","","0.00","0.00",703
21,"B0000301172921","2021-09-24",12744204,2,3867.70,603.98,3196.45,0.00,671.25,159.82000000000,"81.78",0.00,"329.99","273.99","","0.00","0.00",703
22,"B0000301172922","2021-09-24",12836940,10,10493.66,3267.92,7848.37,0.00,2645.29,392.42000000000,"221.87",0.00,"2481.94","785.98","","0.00","997.14",703
23,"B0000301172923","2021-09-24",12892505,2,6783.28,1559.96,5606.02,0.00,1177.26,280.30000000000,"143.42",0.00,"659.98","899.97","","0.00","0.00",703
24,"B0000301172924","2021-09-24",13013440,10,12403.58,3038.44,9276.82,0.00,3126.75,463.84000000000,"262.25",0.00,"1697.97","1340.47","","0.00","1178.62",703
25,"B0000301172925","2021-09-24",13373749,10,11176.61,2329.45,8359.16,0.00,2817.45,417.96000000000,"236.31",0.00,"677.98","1651.46","","0.00","1062.03",703
