orden,n_comp,renglon,cod_art,cantidad,importe_neto,precio_neto,porc_iva,adicional,precio_lista,total_renglon,cuales,revend
1,"B0000301172901",1,"1/100062-5",1,357.55284880000,413.2148,21.00,"",499.99,499.99,"X",506640
1,"B0000301172901",2,"1/100695-7",1,715.11284880000,826.4380,21.00,"",999.99,999.99,"X",506640
1,"B0000301172901",3,"1/100949-2",1,271.73844880000,314.0413,21.00,"",379.99,379.99,"X",506640
1,"B0000301172901",4,"5/203222-9",1,781.51531640000,743.7933,21.00,"",899.99,899.99,"X",506640
1,"B0000301172901",5,"1/21625-6",2,371.84809760000,214.8677,21.00,"",259.99,519.98,"X",506640
1,"B0000301172901",6,"4/265-5",2,0.02043200000,0.0082,21.00,"",0.01,0.02,"X",506640
1,"B0000301172901",7,"5/400013-8",1,260.49931640000,247.9256,21.00,"",299.99,299.99,"X",506640
1,"B0000301172901",8,"5/401507-6",1,521.00731640000,495.8595,21.00,"",599.99,599.99,"X",506640
1,"B0000301172901",9,"5/401508-9",1,521.00731640000,495.8595,21.00,"",599.99,599.99,"X",506640
1,"B0000301172901",10,"5/401510-5",1,364.70251640000,347.0991,21.00,"",419.99,419.99,"X",506640
1,"B0000301172901",11,"5/401511-8",1,434.17131640000,413.2148,21.00,"",499.99,499.99,"X",506640
1,"B0000301172901",12,"5/401513-2",1,434.17131640000,413.2148,21.00,"",499.99,499.99,"X",506640
1,"B0000301172901",13,"5/403173-3",1,303.91731640000,289.2479,21.00,"",349.99,349.99,"X",506640
1,"B0000301172901",14,"5/403815-4",2,434.16263280000,206.6033,21.00,"",249.99,499.98,"X",506640
1,"B0000301172901",15,"5/403816-6",1,217.08131640000,206.6033,21.00,"",249.99,249.99,"X",506640
1,"B0000301172901",16,"5/403817-8",1,217.08131640000,206.6033,21.00,"",249.99,249.99,"X",506640
1,"B0000301172901",17,"8/51614-6",1,561.86978400000,454.5371,21.00,"",549.99,549.99,"X",506640
1,"B0000301172901",18,"4/8265-5",1,0.01021600000,0.0082,21.00,"",0.01,0.01,"X",506640
2,"B0000301172902",1,"1/100165-0",1,178.77284880000,206.6033,21.00,"",249.99,249.99,"X",537503
2,"B0000301172902",2,"1/100313-1",1,214.52884880000,247.9256,21.00,"",299.99,299.99,"X",537503
2,"B0000301172902",3,"1/100493-5",1,214.52884880000,247.9256,21.00,"",299.99,299.99,"X",537503
2,"B0000301172902",4,"1/100796-9",1,178.77284880000,206.6033,21.00,"",249.99,249.99,"X",537503
2,"B0000301172902",5,"1/100804-3",1,286.04084880000,330.5702,21.00,"",399.99,399.99,"X",537503
2,"B0000301172902",6,"1/100984-8",1,178.77284880000,206.6033,21.00,"",249.99,249.99,"X",537503
2,"B0000301172902",7,"1/100985-0",1,178.77284880000,206.6033,21.00,"",249.99,249.99,"X",537503
2,"B0000301172902",8,"1/100986-3",1,214.52884880000,247.9256,21.00,"",299.99,299.99,"X",537503
2,"B0000301172902",9,"1/21328-7",1,214.52884880000,247.9256,21.00,"",299.99,299.99,"X",537503
2,"B0000301172902",10,"1/21904-2",1,321.79684880000,371.8925,21.00,"",449.99,449.99,"X",537503
2,"B0000301172902",11,"1/23088-6",1,250.28484880000,289.2479,21.00,"",349.99,349.99,"X",537503
2,"B0000301172902",12,"1/24677-4",2,243.12649760000,140.4876,21.00,"",169.99,339.98,"X",537503
2,"B0000301172902",13,"4/265-5",1,0.01021600000,0.0082,21.00,"",0.01,0.01,"X",537503
2,"B0000301172902",14,"5/400563-4",1,260.49931640000,247.9256,21.00,"",299.99,299.99,"X",537503
2,"B0000301172902",15,"5/401027-1",2,208.38903280000,99.1652,21.00,"",119.99,239.98,"X",537503
2,"B0000301172902",16,"5/403295-6",2,260.49063280000,123.9586,21.00,"",149.99,299.98,"X",537503
2,"B0000301172902",17,"5/403893-4",1,303.91731640000,289.2479,21.00,"",349.99,349.99,"X",537503
2,"B0000301172902",18,"1/41329-3",1,443.36724880000,512.3884,21.00,"",619.99,619.99,"X",537503
2,"B0000301172902",19,"5/60366-9",1,164.97971640000,157.0165,21.00,"",189.99,189.99,"X",537503
2,"B0000301172902",20,"4/650227-9",11,0.11237600000,0.0082,21.00,"",0.01,0.11,"X",537503
2,"B0000301172902",21,"4/8265-5",1,0.01021600000,0.0082,21.00,"",0.01,0.01,"X",537503
2,"B0000301172902",22,"9/900391-7",1,255.38978400000,206.6033,21.00,"",249.99,249.99,"X",537503
2,"B0000301172902",23,"4/900460-1",1,0.01021600000,0.0082,21.00,"",0.01,0.01,"X",537503
