orden,n_comp,fecha_emision,cod_cliente,figura,importe,bonif_sin_imp,imp_gravado,imp_exento,imp_iva,montib,gastadmi,boniflibro,bonifcosme,bonifpract,porclider,boniflider,bonifivadic,zona
1,"B0000301262279","2021-10-27",4115767,2,5594.33,693.98,4623.41,0.00,970.92,0.00000000000,"118.28",0.00,"371.99","322.00","","0.00","0.00",221
2,"B0000301262280","2021-10-27",4116062,2,2497.75,384.98,2064.25,0.00,433.49,0.00000000000,"52.81",0.00,"307.99","77.00","","0.00","0.00",221
3,"B0000301262281","2021-10-27",4116089,2,5344.95,647.99,4417.32,0.00,927.64,0.00000000000,"113.01",0.00,"223.99","423.99","","0.00","0.00",221
4,"B0000301262282","2021-10-27",4116356,10,45602.06,15400.56,34106.47,0.00,11495.59,1023.19000000000,"964.18",0.00,"12841.67","2558.89","","0.00","4333.23",221
5,"B0000301262283","2021-10-27",4188195,2,6683.14,1947.94,5523.25,0.00,1159.88,0.00000000000,"141.30",0.00,"1475.45","472.48","","0.00","0.00",221
6,"B0000301262284","2021-10-27",4234952,2,3397.74,653.97,2808.05,0.00,589.69,0.00000000000,"71.84",0.00,"323.99","329.98","","0.00","0.00",221
7,"B0000301262285","2021-10-27",4248880,2,6302.14,1430.96,5208.38,0.00,1093.76,0.00000000000,"133.25",0.00,"737.98","692.98","","0.00","0.00",221
8,"B0000301262286","2021-10-27",4306848,2,3822.76,577.98,3159.31,0.00,663.45,0.00000000000,"80.83",0.00,"395.99","181.99","","0.00","0.00",221
9,"B0000301262287","2021-10-27",4583000,2,4235.47,673.98,3500.39,0.00,735.08,0.00000000000,"89.55",0.00,"487.99","185.99","","0.00","0.00",221
10,"B0000301262288","2021-10-27",5273692,2,4224.25,554.98,3491.12,0.00,733.13,0.00000000000,"89.31",0.00,"275.99","278.99","","0.00","0.00",221
11,"B0000301262289","2021-10-27",5274397,2,8836.68,1874.96,7303.04,0.00,1533.64,0.00000000000,"186.84",0.00,"906.97","967.98","","0.00","0.00",221
12,"B0000301262290","2021-10-27",5360463,2,3176.10,370.99,2624.87,0.00,551.22,0.00000000000,"67.15",0.00,"219.99","151.00","","0.00","0.00",221
13,"B0000301262291","2021-10-27",5397375,2,3977.01,586.98,3286.78,0.00,690.22,0.00000000000,"84.09",0.00,"381.99","204.99","","0.00","0.00",221
14,"B0000301262292","2021-10-27",5447860,10,12142.89,3163.39,9081.85,0.00,3061.04,272.46000000000,"256.74",0.00,"1924.94","1238.45","","0.00","1153.85",221
15,"B0000301262293","2021-10-27",5579325,2,3338.51,511.98,2759.10,0.00,579.41,0.00000000000,"70.59",0.00,"371.99","139.99","","0.00","0.00",221
16,"B0000301262294","2021-10-27",5743036,10,17268.73,4865.87,12915.54,0.00,4353.18,387.47000000000,"365.12",0.00,"3128.92","1736.95","","0.00","1640.92",221
17,"B0000301262295","2021-10-27",5743524,2,6236.79,684.99,5154.37,0.00,1082.42,0.00000000000,"131.87",0.00,"115.99","568.99","","0.00","0.00",221
18,"B0000301262296","2021-10-27",6010067,2,7482.63,1885.46,6183.99,0.00,1298.64,0.00000000000,"158.21",0.00,"1007.97","877.48","","0.00","0.00",221
19,"B0000301262297","2021-10-27",6226191,2,2911.49,369.98,2406.19,0.00,505.30,0.00000000000,"61.56",0.00,"199.99","169.99","","0.00","0.00",221
20,"B0000301262298","2021-10-27",6226523,10,21614.47,5891.84,16165.79,0.00,5448.68,484.97000000000,"457.00",0.00,"3791.90","2099.94","","0.00","2053.86",221
21,"B0000301262299","2021-10-27",6292313,2,8629.86,2612.45,7132.11,0.00,1497.74,0.00000000000,"182.46",0.00,"1980.96","631.48","","0.00","0.00",221
22,"B0000301262300","2021-10-27",6383394,2,6960.03,1376.96,5752.09,0.00,1207.94,0.00000000000,"147.16",0.00,"575.98","800.98","","0.00","0.00",221
23,"B0000301262301","2021-10-27",6487319,2,5799.02,1033.48,4792.58,0.00,1006.44,0.00000000000,"122.61",0.00,"209.99","823.48","","0.00","0.00",221
24,"B0000301262302","2021-10-27",6487629,10,12855.01,3621.40,9614.46,0.00,3240.55,288.43000000000,"271.80",0.00,"2839.92","781.47","","0.00","1221.52",221
25,"B0000301262303","2021-10-27",6574491,2,9248.90,2576.44,7643.72,0.00,1605.18,0.00000000000,"195.55",0.00,"1707.96","868.48","","0.00","0.00",221
26,"B0000301262304","2021-10-27",6629822,2,9104.78,2027.44,7524.61,0.00,1580.17,0.00000000000,"192.51",0.00,"876.98","1150.46","","0.00","0.00",221
27,"B0000301262305","2021-10-27",6765335,2,8302.89,1982.45,6861.89,0.00,1441.00,0.00000000000,"175.55",0.00,"1035.97","946.48","","0.00","0.00",221
28,"B0000301262306","2021-10-27",6805663,2,3134.22,371.99,2590.26,0.00,543.96,0.00000000000,"66.27",0.00,"159.99","212.00","","0.00","0.00",221
29,"B0000301262307","2021-10-27",6844154,2,5081.33,785.98,4199.45,0.00,881.88,0.00000000000,"107.44",0.00,"0.00","785.98","","0.00","0.00",221
30,"B0000301262308","2021-10-27",6882137,2,9989.50,2251.44,8255.78,0.00,1733.71,0.00000000000,"211.21",0.00,"1043.97","1207.47","","0.00","0.00",221
31,"B0000301262309","2021-10-27",6882366,2,4939.84,1354.46,4082.51,0.00,857.33,0.00000000000,"104.44",0.00,"1007.98","346.48","","0.00","0.00",221
32,"B0000301262310","2021-10-27",6921973,2,9548.63,2052.94,7891.43,0.00,1657.20,0.00000000000,"201.89",0.00,"776.48","1276.46","","0.00","0.00",221
33,"B0000301262311","2021-10-27",7103662,10,12009.73,3783.92,8982.26,0.00,3027.47,269.47000000000,"253.93",0.00,"3105.93","677.98","","0.00","1141.20",221
34,"B0000301262312","2021-10-27",7187327,10,13067.59,3278.43,9773.45,0.00,3294.14,293.20000000000,"276.29",0.00,"1839.96","1438.47","","0.00","1241.72",221
35,"B0000301262313","2021-10-27",7252528,2,3670.56,546.99,3033.52,0.00,637.04,0.00000000000,"77.61",0.00,"369.99","176.99","","0.00","0.00",221
36,"B0000301262314","2021-10-27",7557760,2,5490.47,1555.46,4537.58,0.00,952.89,0.00000000000,"116.09",0.00,"1187.97","367.48","","0.00","0.00",221
37,"B0000301262315","2021-10-27",7595395,2,3867.71,623.98,3196.46,0.00,671.26,0.00000000000,"81.78",0.00,"469.99","154.00","","0.00","0.00",221
38,"B0000301262316","2021-10-27",7630930,2,7481.04,1976.95,6182.68,0.00,1298.36,0.00000000000,"158.17",0.00,"1319.97","656.98","","0.00","0.00",221
39,"B0000301262317","2021-10-27",7920350,2,7322.76,861.99,6051.87,0.00,1270.89,0.00000000000,"154.83",0.00,"221.99","639.99","","0.00","0.00",221
40,"B0000301262318","2021-10-27",8030286,10,13350.59,3071.44,9985.11,0.00,3365.48,299.55000000000,"282.28",0.00,"1404.96","1666.47","","0.00","1268.61",221
41,"B0000301262319","2021-10-27",8080526,2,7379.90,2765.93,6099.09,0.00,1280.81,0.00000000000,"156.04",0.00,"2690.93","75.00","","0.00","0.00",221
42,"B0000301262320","2021-10-27",8108765,2,5950.77,1019.98,4917.99,0.00,1032.78,0.00000000000,"125.82",0.00,"939.98","80.00","","0.00","0.00",221
43,"B0000301262321","2021-10-27",8108935,10,12166.48,2590.44,9099.49,0.00,3066.98,272.98000000000,"257.24",0.00,"1055.98","1534.46","","0.00","1156.09",221
44,"B0000301262322","2021-10-27",8324549,2,6873.68,1901.44,5680.73,0.00,1192.95,0.00000000000,"145.33",0.00,"1317.96","583.48","","0.00","0.00",221
45,"B0000301262323","2021-10-27",8360774,2,6732.21,1589.96,5563.81,0.00,1168.40,0.00000000000,"142.34",0.00,"881.98","707.98","","0.00","0.00",221
46,"B0000301262324","2021-10-27",8453721,2,6622.89,1776.94,5473.46,0.00,1149.43,0.00000000000,"140.03",0.00,"1179.96","596.99","","0.00","0.00",221
47,"B0000301262325","2021-10-27",8513368,2,2998.34,584.98,2477.97,0.00,520.37,0.00000000000,"63.39",0.00,"569.98","15.00","","0.00","0.00",221
48,"B0000301262326","2021-10-27",8615357,2,4106.76,899.97,3394.01,0.00,712.74,0.00000000000,"86.83",0.00,"479.99","419.98","","0.00","0.00",221
49,"B0000301262327","2021-10-27",8783675,10,15046.36,3761.41,11253.40,0.00,3792.96,337.60000000000,"318.13",0.00,"2049.95","1711.46","","0.00","1429.74",221
50,"B0000301262328","2021-10-27",8814007,10,13679.41,3149.41,10231.03,0.00,3448.37,306.93000000000,"289.23",0.00,"1397.46","1751.95","","0.00","1299.85",221
51,"B0000301262329","2021-10-27",8852510,2,5023.12,947.98,4151.34,0.00,871.78,0.00000000000,"106.21",0.00,"849.98","98.00","","0.00","0.00",221
52,"B0000301262330","2021-10-27",8890145,2,3619.44,386.99,2991.27,0.00,628.17,0.00000000000,"76.53",0.00,"92.00","294.99","","0.00","0.00",221
