"orden","n_comp","fecha_emision","cod_cliente","figura","importe","bonif_sin_imp","imp_gravado","imp_exento","imp_iva","montib","gastadmi","boniflibro","bonifcosme","bonifpract","porclider","boniflider","bonifivadic","zona"
4,"B0000301262282","2021-10-27",411635,10,45602.06,15400.56,34106.47,0.0,11495.59,1023.19,"964.18",0.0,"12841.67","2558.89","","0.00",4333.23,221
6,"B0000301262284","2021-10-27",423495,2,3397.74,653.97,2808.05,0.0,589.69,0.0,"71.84",0.0,"323.99","329.98","","0.00",0.0,221
16,"B0000301262294","2021-10-27",574303,10,17268.73,4865.87,12915.54,0.0,4353.18,387.47,"365.12",0.0,"3128.92","1736.95","","0.00",1640.92,221
19,"B0000301262297","2021-10-27",622619,2,2911.49,369.98,2406.19,0.0,505.3,0.0,"61.56",0.0,"199.99","169.99","","0.00",0.0,221
33,"B0000301262311","2021-10-27",710366,10,12009.73,3783.92,8982.26,0.0,3027.47,269.47,"253.93",0.0,"3105.93","677.98","","0.00",1141.2,221
34,"B0000301262312","2021-10-27",718732,10,13067.59,3278.43,9773.45,0.0,3294.14,293.2,"276.29",0.0,"1839.96","1438.47","","0.00",1241.72,221
39,"B0000301262317","2021-10-27",792035,2,7322.76,861.99,6051.87,0.0,1270.89,0.0,"154.83",0.0,"221.99","639.99","","0.00",0.0,221
43,"B0000301262321","2021-10-27",810893,10,12166.48,2590.44,9099.49,0.0,3066.98,272.98,"257.24",0.0,"1055.98","1534.46","","0.00",1156.09,221
47,"B0000301262325","2021-10-27",851336,2,2998.34,584.98,2477.97,0.0,520.37,0.0,"63.39",0.0,"569.98","15.00","","0.00",0.0,221
50,"B0000301262328","2021-10-27",881400,10,13679.41,3149.41,10231.03,0.0,3448.37,306.93,"289.23",0.0,"1397.46","1751.95","","0.00",1299.85,221
51,"B0000301262329","2021-10-27",885251,2,5023.12,947.98,4151.34,0.0,871.78,0.0,"106.21",0.0,"849.98","98.00","","0.00",0.0,221
56,"B0000301262334","2021-10-27",926567,10,10721.51,2604.93,8018.78,0.0,2702.73,240.56,"226.69",0.0,"1383.96","1220.97","","0.00",1018.79,221
64,"B0000301262342","2021-10-27",1007590,2,4494.39,1240.45,3714.38,0.0,780.02,0.0,"95.03",0.0,"944.97","295.48","","0.00",0.0,221
80,"B0000301262358","2021-10-27",1095074,2,7776.67,1547.44,6427.0,0.0,1349.67,0.0,"164.42",0.0,"450.99","1096.46","","0.00",0.0,221
86,"B0000301262364","2021-10-27",1115470,2,6314.36,2148.93,5218.48,0.0,1095.88,0.0,"133.51",0.0,"1902.94","245.99","","0.00",0.0,221
91,"B0000301262369","2021-10-27",1144376,2,5792.31,1809.94,4787.04,0.0,1005.28,0.0,"122.47",0.0,"1479.95","329.98","","0.00",0.0,221
111,"B0000301262389","2021-10-27",1233178,10,12324.42,2255.96,9217.62,0.0,3106.8,276.53,"260.58",0.0,"376.49","1879.47","","0.00",1171.1,221
114,"B0000301262392","2021-10-27",1256330,10,24907.42,5338.34,18628.64,0.0,6278.78,558.86,"526.63",0.0,"1847.96","3490.38","","0.00",2366.77,221
122,"B0000301262400","2021-10-27",1282617,2,5280.56,590.99,4364.1,0.0,916.46,0.0,"111.65",0.0,"134.00","456.99","","0.00",0.0,221
124,"B0000301262402","2021-10-27",1287609,2,6217.34,2003.95,5138.3,0.0,1079.04,0.0,"131.46",0.0,"1736.96","266.99","","0.00",0.0,221
133,"B0000301262411","2021-10-27",1307886,10,18358.83,4798.89,13730.85,0.0,4627.98,411.93,"388.17",0.0,"2818.93","1979.96","","0.00",1744.5,221
141,"B0000301262419","2021-10-27",1328807,2,2329.2,289.99,1924.96,0.0,404.24,0.0,"49.25",0.0,"169.99","119.99","","0.00",0.0,221
165,"B0000301262443","2021-10-27",1382213,2,7914.72,1672.46,6541.09,0.0,1373.63,0.0,"167.34",0.0,"674.98","997.48","","0.00",0.0,221
180,"B0000301262458","2021-10-27",1415174,2,7043.32,2635.45,5820.93,0.0,1222.39,0.0,"148.92",0.0,"2567.95","67.50","","0.00",0.0,221
198,"B0000301262476","2021-10-27",2045411,2,6134.6,1244.97,5069.92,0.0,1064.68,0.0,"129.71",0.0,"470.99","773.98","","0.00",0.0,221
199,"B0000301262477","2021-10-27",2045412,2,5288.67,1382.95,4370.8,0.0,917.87,0.0,"111.82",0.0,"953.97","428.98","","0.00",0.0,221
206,"B0000301262484","2021-10-27",2051844,2,4435.17,838.47,3665.43,0.0,769.74,0.0,"93.77",0.0,"278.99","559.48","","0.00",0.0,221
212,"B0000301262490","2021-10-27",2061656,2,5178.4,800.98,4279.67,0.0,898.73,0.0,"109.49",0.0,"531.99","268.99","","0.00",0.0,221
217,"B0000301262495","2021-10-27",2067035,2,9434.28,2574.92,7796.92,0.0,1637.35,0.0,"199.47",0.0,"1710.94","863.98","","0.00",0.0,221
225,"B0000301262503","2021-10-27",2086528,2,9758.56,2567.42,8064.93,0.0,1693.64,0.0,"206.33",0.0,"1634.46","932.97","","0.00",0.0,221
228,"B0000301262506","2021-10-27",2093187,2,8373.82,2157.93,6920.51,0.0,1453.31,0.0,"177.05",0.0,"1347.97","809.97","","0.00",0.0,221
231,"B0000301262509","2021-10-27",2093222,10,12627.31,2579.46,9444.15,0.0,3183.15,283.32,"266.98",0.0,"780.99","1798.47","","0.00",1199.88,221
253,"B0000301262531","2021-10-27",2120003,10,24352.99,5031.4,18213.97,0.0,6139.02,546.42,"514.90",0.0,"1432.98","3598.43","","0.00",2314.09,221
255,"B0000301262533","2021-10-27",2121403,2,4274.77,955.46,3532.87,0.0,741.9,0.0,"90.38",0.0,"524.98","430.48","","0.00",0.0,221
264,"B0000301262542","2021-10-27",2128960,10,29768.85,19609.62,22264.57,0.0,7504.27,667.94,"629.41",0.0,"19246.64","362.99","","0.00",2828.71,221
265,"B0000301262543","2021-10-27",2128961,2,4002.57,601.98,3307.91,0.0,694.66,0.0,"84.63",0.0,"403.99","198.00","","0.00",0.0,221
266,"B0000301262544","2021-10-27",2128965,2,4126.13,620.98,3410.03,0.0,716.11,0.0,"87.24",0.0,"0.00","620.98","","0.00",0.0,221
268,"B0000301262546","2021-10-27",2133609,2,2009.46,272.99,1660.71,0.0,348.75,0.0,"42.49",0.0,"237.99","35.00","","0.00",0.0,221
269,"B0000301262547","2021-10-27",2133610,2,4762.1,1168.47,3935.62,0.0,826.48,0.0,"100.69",0.0,"743.98","424.49","","0.00",0.0,221
289,"B0000301262567","2021-10-27",2145594,10,10655.12,2589.94,7969.12,0.0,2685.99,239.07,"225.28",0.0,"1491.96","1097.98","","0.00",1012.48,221
300,"B0000301262578","2021-10-27",2155865,10,11677.59,3308.9,8733.85,0.0,2943.74,262.02,"246.90",0.0,"2180.94","1127.96","","0.00",1109.64,221
302,"B0000301262580","2021-10-27",2161640,10,12046.92,2447.43,9010.08,0.0,3036.85,270.3,"254.71",0.0,"726.98","1720.45","","0.00",1144.73,221
335,"B0000301262613","2021-10-27",2180403,2,3464.19,388.99,2862.96,0.0,601.22,0.0,"73.24",0.0,"126.00","262.99","","0.00",0.0,221
