"orden","n_comp","fecha_emision","cod_cliente","figura","importe","bonif_sin_imp","imp_gravado","imp_exento","imp_iva","montib","gastadmi","boniflibro","bonifcosme","bonifpract","porclider","boniflider","bonifivadic","zona"
1,"B0000301258914","2021-10-27",307996,2,5533.02,1283.97,4572.74,0.0,960.28,205.77,"116.99",0.0,"713.98","569.99","","0.00",0.0,22
2,"B0000301258915","2021-10-27",365645,2,7199.01,2172.92,5949.59,0.0,1249.41,267.73,"152.21",0.0,"1710.94","461.98","","0.00",0.0,22
3,"B0000301258916","2021-10-27",381824,2,3016.71,466.98,2493.15,0.0,523.56,112.19,"63.78",0.0,"353.99","112.99","","0.00",0.0,22
4,"B0000301258917","2021-10-27",393516,2,9730.49,3384.9,8041.73,0.0,1688.76,361.88,"205.73",0.0,"2927.42","457.48","","0.00",0.0,22
5,"B0000301258918","2021-10-27",396088,2,3747.15,541.98,3096.82,0.0,650.33,139.36,"79.23",0.0,"345.99","195.99","","0.00",0.0,22
6,"B0000301258919","2021-10-27",447605,10,16442.81,3824.41,12297.83,0.0,4144.98,553.4,"347.66",0.0,"1851.96","1972.45","","0.00",1562.44,22
7,"B0000301258920","2021-10-27",476634,2,5583.96,1493.96,4614.84,0.0,969.12,207.67,"118.06",0.0,"1103.97","389.99","","0.00",0.0,22
8,"B0000301258921","2021-10-27",494695,2,3951.48,661.98,3265.68,0.0,685.79,146.96,"83.55",0.0,"521.99","140.00","","0.00",0.0,22
9,"B0000301258922","2021-10-27",494699,2,5281.61,909.98,4364.97,0.0,916.64,196.42,"111.67",0.0,"707.98","202.00","","0.00",0.0,22
10,"B0000301258923","2021-10-27",495862,2,3064.74,319.99,2532.84,0.0,531.9,113.98,"64.80",0.0,"126.00","193.99","","0.00",0.0,22
11,"B0000301258924","2021-10-27",497280,2,3240.46,447.99,2678.06,0.0,562.39,120.51,"68.51",0.0,"275.99","172.00","","0.00",0.0,22
12,"B0000301258925","2021-10-27",553340,2,7455.96,2141.44,6161.95,0.0,1294.01,277.29,"157.64",0.0,"1674.96","466.48","","0.00",0.0,22
13,"B0000301258926","2021-10-27",597931,10,14374.67,3588.92,10751.03,0.0,3623.64,483.8,"303.93",0.0,"2094.95","1493.97","","0.00",1365.92,22
14,"B0000301258927","2021-10-27",612525,2,7761.95,2061.95,6414.83,0.0,1347.11,288.67,"164.11",0.0,"1316.47","745.48","","0.00",0.0,22
15,"B0000301258928","2021-10-27",660617,10,12433.59,3648.89,9299.27,0.0,3134.32,418.47,"262.89",0.0,"2826.92","821.97","","0.00",1181.47,22
16,"B0000301258929","2021-10-27",680664,2,6920.73,1375.47,5719.61,0.0,1201.12,257.38,"146.33",0.0,"461.98","913.48","","0.00",0.0,22
17,"B0000301258930","2021-10-27",688289,2,9175.75,2337.92,7583.26,0.0,1592.48,341.25,"194.01",0.0,"1353.96","983.96","","0.00",0.0,22
18,"B0000301258931","2021-10-27",692306,10,13429.82,2183.97,10044.36,0.0,3385.45,452.0,"283.95",0.0,"344.99","1838.98","","0.00",1276.14,22
20,"B0000301258933","2021-10-27",698416,2,4872.4,1450.45,4026.77,0.0,845.62,181.2,"103.02",0.0,"1190.96","259.49","","0.00",0.0,22
21,"B0000301258934","2021-10-27",722393,2,5415.9,1228.47,4475.95,0.0,939.95,201.42,"114.51",0.0,"653.98","574.48","","0.00",0.0,22
22,"B0000301258935","2021-10-27",731814,10,11288.88,2519.42,8443.13,0.0,2845.76,379.94,"238.68",0.0,"1041.97","1477.45","","0.00",1072.7,22
23,"B0000301258936","2021-10-27",747304,2,3220.02,497.98,2661.17,0.0,558.85,119.75,"68.08",0.0,"439.99","58.00","","0.00",0.0,22
24,"B0000301258937","2021-10-27",751485,2,7126.0,1514.45,5889.26,0.0,1236.74,265.02,"150.67",0.0,"633.98","880.47","","0.00",0.0,22
25,"B0000301258938","2021-10-27",755193,2,2643.8,611.97,2184.96,0.0,458.84,98.32,"55.90",0.0,"419.98","191.99","","0.00",0.0,22
27,"B0000301258940","2021-10-27",789470,2,3065.75,478.98,2533.68,0.0,532.07,114.02,"64.82",0.0,"365.99","112.99","","0.00",0.0,22
28,"B0000301258941","2021-10-27",791803,10,39968.56,10185.2,29893.09,0.0,10075.47,1345.19,"845.07",0.0,"5959.82","4225.37","","0.00",3797.92,22
29,"B0000301258942","2021-10-27",794231,2,9754.55,2201.45,8061.61,0.0,1692.94,362.77,"206.24",0.0,"951.97","1249.47","","0.00",0.0,22
30,"B0000301258943","2021-10-27",810969,2,9060.87,2450.43,7488.32,0.0,1572.55,336.97,"191.58",0.0,"1518.96","931.47","","0.00",0.0,22
31,"B0000301258944","2021-10-27",816400,2,7773.1,1680.94,6424.05,0.0,1349.05,289.08,"164.35",0.0,"678.98","1001.96","","0.00",0.0,22
32,"B0000301258945","2021-10-27",818372,2,9638.07,2255.43,7965.35,0.0,1672.72,0.0,"203.78",0.0,"1134.96","1120.47","","0.00",0.0,22
33,"B0000301258946","2021-10-27",832102,2,3749.16,599.98,3098.48,0.0,650.68,139.43,"79.27",0.0,"75.00","524.98","","0.00",0.0,22
34,"B0000301258947","2021-10-27",860287,2,4937.3,1046.97,4080.41,0.0,856.89,183.62,"104.39",0.0,"485.98","560.98","","0.00",0.0,22
35,"B0000301258948","2021-10-27",864751,2,5941.51,1493.96,4910.33,0.0,1031.17,220.97,"125.62",0.0,"950.97","542.98","","0.00",0.0,22
