"orden","n_comp","renglon","cod_art","cantidad","importe_neto","precio_neto","porc_iva","adicional","precio_lista","total_renglon","cuales","revend"
19,"B0000301258932",1,"1/100119-7",1.0,178.7728488,206.6033,21.0,"",249.99,249.99,"X",698387
19,"B0000301258932",2,"1/100655-0",1.0,536.3328488,619.8264,21.0,"",749.99,749.99,"X",698387
19,"B0000301258932",3,"1/100761-4",1.0,286.0408488,330.5702,21.0,"",399.99,399.99,"X",698387
19,"B0000301258932",4,"1/100765-3",1.0,286.0408488,330.5702,21.0,"",399.99,399.99,"X",698387
19,"B0000301258932",5,"1/100769-3",1.0,286.0408488,330.5702,21.0,"",399.99,399.99,"X",698387
19,"B0000301258932",6,"1/100971-7",2.0,800.9200976,462.8016,21.0,"",559.99,1119.98,"X",698387
19,"B0000301258932",7,"1/100992-8",1.0,143.0168488,165.2809,21.0,"",199.99,199.99,"X",698387
19,"B0000301258932",8,"7/100998-1",1.0,478.0996056,429.7438,21.0,"",519.99,519.99,"X",698387
19,"B0000301258932",9,"7/101000-4",1.0,211.4620056,190.0743,21.0,"",229.99,229.99,"X",698387
19,"B0000301258932",10,"5/202051-2",1.0,1476.2033164,1404.9504,21.0,"",1699.99,1699.99,"X",698387
19,"B0000301258932",11,"5/202053-7",1.0,1476.2033164,1404.9504,21.0,"",1699.99,1699.99,"X",698387
19,"B0000301258932",12,"1/21311-7",1.0,357.5528488,413.2148,21.0,"",499.99,499.99,"X",698387
19,"B0000301258932",13,"4/266-7",12.0,0.122592,0.0082,21.0,"",0.01,0.12,"X",698387
19,"B0000301258932",14,"5/402829-7",1.0,1042.0233164,991.7272,21.0,"",1199.99,1199.99,"X",698387
19,"B0000301258932",15,"5/403060-3",1.0,868.3513164,826.438,21.0,"",999.99,999.99,"X",698387
19,"B0000301258932",16,"5/403224-2",1.0,477.5893164,454.5371,21.0,"",549.99,549.99,"X",698387
19,"B0000301258932",17,"5/403675-2",1.0,138.9289164,132.2231,21.0,"",159.99,159.99,"X",698387
19,"B0000301258932",18,"5/403870-9",1.0,156.2961164,148.752,21.0,"",179.99,179.99,"X",698387
19,"B0000301258932",19,"5/403871-1",1.0,156.2961164,148.752,21.0,"",179.99,179.99,"X",698387
19,"B0000301258932",20,"5/403874-8",1.0,225.7649164,214.8677,21.0,"",259.99,259.99,"X",698387
19,"B0000301258932",21,"5/403880-3",1.0,694.6793164,661.1487,21.0,"",799.99,799.99,"X",698387
19,"B0000301258932",22,"5/403882-8",1.0,694.6793164,661.1487,21.0,"",799.99,799.99,"X",698387
19,"B0000301258932",23,"5/403902-1",1.0,434.1713164,413.2148,21.0,"",499.99,499.99,"X",698387
19,"B0000301258932",24,"1/41237-4",1.0,357.5528488,413.2148,21.0,"",499.99,499.99,"X",698387
19,"B0000301258932",25,"1/41330-8",1.0,398.4173596,495.8595,21.0,"",599.99,599.99,"X",698387
19,"B0000301258932",26,"4/500101-3",1.0,0.010216,0.0082,21.0,"",0.01,0.01,"X",698387
19,"B0000301258932",27,"1/54427-1",1.0,185.9240488,214.8677,21.0,"",259.99,259.99,"X",698387
19,"B0000301258932",28,"4/650251-9",1.0,0.010216,0.0082,21.0,"",0.01,0.01,"X",698387
19,"B0000301258932",29,"4/8266-7",1.0,0.010216,0.0082,21.0,"",0.01,0.01,"X",698387
19,"B0000301258932",30,"4/88745-8",1.0,0.010216,0.0082,21.0,"",0.01,0.01,"X",698387
19,"B0000301258932",31,"4/900460-1",1.0,0.010216,0.0082,21.0,"",0.01,0.01,"X",698387
19,"B0000301258932",32,"4/900578-3",1.0,0.010216,0.0082,21.0,"",0.01,0.01,"X",698387
19,"B0000301258932",33,"4/900582-4",1.0,0.010216,0.0082,21.0,"",0.01,0.01,"X",698387
26,"B0000301258939",1,"1/100119-7",1.0,178.7728488,206.6033,21.0,"",249.99,249.99,"X",786353
26,"B0000301258939",2,"1/100924-1",1.0,393.3088488,454.5371,21.0,"",549.99,549.99,"X",786353
26,"B0000301258939",3,"1/100926-5",1.0,400.4600488,462.8016,21.0,"",559.99,559.99,"X",786353
26,"B0000301258939",4,"1/100959-6",1.0,429.0648488,495.8595,21.0,"",599.99,599.99,"X",786353
26,"B0000301258939",5,"1/100971-7",1.0,400.4600488,462.8016,21.0,"",559.99,559.99,"X",786353
26,"B0000301258939",6,"7/100998-1",1.0,531.221784,429.7438,21.0,"",519.99,519.99,"X",786353
26,"B0000301258939",7,"5/201477-0",1.0,199.7141164,190.0743,21.0,"",229.99,229.99,"X",786353
26,"B0000301258939",8,"4/266-7",1.0,0.010216,0.0082,21.0,"",0.01,0.01,"X",786353
26,"B0000301258939",9,"5/402804-7",1.0,173.6633164,165.2809,21.0,"",199.99,199.99,"X",786353
26,"B0000301258939",10,"5/403479-4",1.0,260.4993164,247.9256,21.0,"",299.99,299.99,"X",786353
26,"B0000301258939",11,"5/403515-6",2.0,312.5922328,148.752,21.0,"",179.99,359.98,"X",786353
26,"B0000301258939",12,"5/403599-1",1.0,130.2453164,123.9586,21.0,"",149.99,149.99,"X",786353
26,"B0000301258939",13,"5/404115-1",2.0,260.4906328,123.9586,21.0,"",149.99,299.98,"X",786353
26,"B0000301258939",14,"5/404124-3",1.0,130.2453164,123.9586,21.0,"",149.99,149.99,"X",786353
26,"B0000301258939",15,"1/43143-1",1.0,550.6352488,636.3553,21.0,"",769.99,769.99,"X",786353
26,"B0000301258939",16,"4/650251-9",1.0,0.010216,0.0082,21.0,"",0.01,0.01,"X",786353
26,"B0000301258939",17,"4/8266-7",1.0,0.010216,0.0082,21.0,"",0.01,0.01,"X",786353
26,"B0000301258939",18,"4/900460-1",1.0,0.010216,0.0082,21.0,"",0.01,0.01,"X",786353
45,"B0000301258958",1,"1/100119-7",2.0,357.5456976,206.6033,21.0,"",249.99,499.98,"X",993347
45,"B0000301258958",2,"1/100657-4",1.0,214.5288488,247.9256,21.0,"",299.99,299.99,"X",993347
45,"B0000301258958",3,"1/100767-7",1.0,286.0408488,330.5702,21.0,"",399.99,399.99,"X",993347
45,"B0000301258958",4,"1/100776-1",1.0,235.9824488,272.719,21.0,"",329.99,329.99,"X",993347
45,"B0000301258958",5,"1/100851-9",1.0,235.9824488,272.719,21.0,"",329.99,329.99,"X",993347
45,"B0000301258958",6,"7/100998-1",1.0,531.221784,429.7438,21.0,"",519.99,519.99,"X",993347
45,"B0000301258958",7,"5/201478-2",1.0,199.7141164,190.0743,21.0,"",229.99,229.99,"X",993347
45,"B0000301258958",8,"4/266-7",1.0,0.010216,0.0082,21.0,"",0.01,0.01,"X",993347
45,"B0000301258958",9,"1/31280-9",1.0,357.5528488,413.2148,21.0,"",499.99,499.99,"X",993347
45,"B0000301258958",10,"5/401144-2",1.0,286.5501164,272.719,21.0,"",329.99,329.99,"X",993347
45,"B0000301258958",11,"5/402284-9",1.0,173.6633164,165.2809,21.0,"",199.99,199.99,"X",993347
45,"B0000301258958",12,"3/402737-8",1.0,191.0305164,181.8099,21.0,"",219.99,219.99,"X",993347
45,"B0000301258958",13,"3/402739-3",1.0,191.0305164,181.8099,21.0,"",219.99,219.99,"X",993347
45,"B0000301258958",14,"5/403327-7",1.0,303.9173164,289.2479,21.0,"",349.99,349.99,"X",993347
45,"B0000301258958",15,"5/403328-0",1.0,303.9173164,289.2479,21.0,"",349.99,349.99,"X",993347
45,"B0000301258958",16,"5/403329-2",1.0,303.9173164,289.2479,21.0,"",349.99,349.99,"X",993347
45,"B0000301258958",17,"5/403382-4",1.0,303.9173164,289.2479,21.0,"",349.99,349.99,"X",993347
45,"B0000301258958",18,"5/403585-8",1.0,173.6633164,165.2809,21.0,"",199.99,199.99,"X",993347
45,"B0000301258958",19,"1/43143-1",1.0,550.6352488,636.3553,21.0,"",769.99,769.99,"X",993347
45,"B0000301258958",20,"5/46294-5",2.0,468.8970328,223.1322,21.0,"",269.99,539.98,"X",993347
45,"B0000301258958",21,"1/54427-1",1.0,185.9240488,214.8677,21.0,"",259.99,259.99,"X",993347
45,"B0000301258958",22,"4/650251-9",1.0,0.010216,0.0082,21.0,"",0.01,0.01,"X",993347
45,"B0000301258958",23,"4/8266-7",1.0,0.010216,0.0082,21.0,"",0.01,0.01,"X",993347
45,"B0000301258958",24,"4/900460-1",1.0,0.010216,0.0082,21.0,"",0.01,0.01,"X",993347
47,"B0000301258960",1,"1/100464-4",1.0,429.0648488,495.8595,21.0,"",599.99,599.99,"X",1025033
