"orden","n_comp","renglon","cod_art","cantidad","importe_neto","precio_neto","porc_iva","adicional","precio_lista","total_renglon","cuales","revend"
1,"B0000301262279",1,"1/100217-1",1,"269.69422720000",272.719,21.0,"",329.99,329.99,"X",411576
1,"B0000301262279",2,"1/100389-5",1,"269.69422720000",272.719,21.0,"",329.99,329.99,"X",411576
1,"B0000301262279",3,"1/100867-7",1,"269.69422720000",272.719,21.0,"",329.99,329.99,"X",411576
1,"B0000301262279",4,"1/100923-9",1,"384.11342720000",388.4214,21.0,"",469.99,469.99,"X",411576
1,"B0000301262279",5,"7/100996-7",1,"398.41378400000",322.3057,21.0,"",389.99,389.99,"X",411576
1,"B0000301262279",6,"7/100997-9",1,"183.87778400000",148.752,21.0,"",179.99,179.99,"X",411576
1,"B0000301262279",7,"7/100998-1",1,"531.22178400000",429.7438,21.0,"",519.99,519.99,"X",411576
1,"B0000301262279",8,"5/203304-3",1,"1471.09480560000",1322.3057,21.0,"",1599.99,1599.99,"X",411576
1,"B0000301262279",9,"4/266-7",11,"0.11237600000",0.0082,21.0,"",0.01,0.11,"X",411576
1,"B0000301262279",10,"5/402284-9",1,"183.87880560000",165.2809,21.0,"",199.99,199.99,"X",411576
1,"B0000301262279",11,"5/403739-2",1,"340.18360560000",305.7768,21.0,"",369.99,369.99,"X",411576
1,"B0000301262279",12,"5/404115-1",1,"137.90680560000",123.9586,21.0,"",149.99,149.99,"X",411576
1,"B0000301262279",13,"5/404135-0",1,"827.48680560000",743.7933,21.0,"",899.99,899.99,"X",411576
1,"B0000301262279",14,"1/54425-5",2,"326.89565440000",165.2809,21.0,"",199.99,399.98,"X",411576
1,"B0000301262279",15,"4/650251-9",1,"0.01021600000",0.0082,21.0,"",0.01,0.01,"X",411576
1,"B0000301262279",16,"4/8266-7",1,"0.01021600000",0.0082,21.0,"",0.01,0.01,"X",411576
1,"B0000301262279",17,"4/88745-8",1,"0.01021600000",0.0082,21.0,"",0.01,0.01,"X",411576
1,"B0000301262279",18,"4/900460-1",1,"0.01021600000",0.0082,21.0,"",0.01,0.01,"X",411576
1,"B0000301262279",19,"4/900579-5",2,"0.02043200000",0.0082,21.0,"",0.01,0.02,"X",411576
2,"B0000301262280",1,"1/100119-7",1,"204.31182720000",206.6033,21.0,"",249.99,249.99,"X",411606
2,"B0000301262280",2,"1/100735-0",1,"163.44782720000",165.2809,21.0,"",199.99,199.99,"X",411606
2,"B0000301262280",3,"1/100773-3",1,"155.27502720000",157.0165,21.0,"",189.99,189.99,"X",411606
2,"B0000301262280",4,"7/100998-1",1,"531.22178400000",429.7438,21.0,"",519.99,519.99,"X",411606
2,"B0000301262280",5,"1/12154-1",1,"294.21262720000",297.5123,21.0,"",359.99,359.99,"X",411606
2,"B0000301262280",6,"3/202599-3",1,"165.49000560000",148.752,21.0,"",179.99,179.99,"X",411606
2,"B0000301262280",7,"4/266-7",1,"0.01021600000",0.0082,21.0,"",0.01,0.01,"X",411606
2,"B0000301262280",8,"5/402243-9",1,"174.68440560000",157.0165,21.0,"",189.99,189.99,"X",411606
2,"B0000301262280",9,"5/404115-1",1,"137.90680560000",123.9586,21.0,"",149.99,149.99,"X",411606
2,"B0000301262280",10,"5/53150-1",1,"229.85080560000",206.6033,21.0,"",249.99,249.99,"X",411606
2,"B0000301262280",11,"1/54427-1",1,"212.48462720000",214.8677,21.0,"",259.99,259.99,"X",411606
2,"B0000301262280",12,"1/54430-9",1,"228.83022720000",231.3966,21.0,"",279.99,279.99,"X",411606
2,"B0000301262280",13,"4/650251-9",1,"0.01021600000",0.0082,21.0,"",0.01,0.01,"X",411606
2,"B0000301262280",14,"4/8266-7",1,"0.01021600000",0.0082,21.0,"",0.01,0.01,"X",411606
3,"B0000301262281",1,"1/100896-8",1,"384.11342720000",388.4214,21.0,"",469.99,469.99,"X",411608
3,"B0000301262281",2,"1/100966-4",1,"245.17582720000",247.9256,21.0,"",299.99,299.99,"X",411608
3,"B0000301262281",3,"1/100991-6",1,"286.03982720000",289.2479,21.0,"",349.99,349.99,"X",411608
3,"B0000301262281",4,"7/100998-1",1,"531.22178400000",429.7438,21.0,"",519.99,519.99,"X",411608
3,"B0000301262281",5,"4/266-7",1,"0.01021600000",0.0082,21.0,"",0.01,0.01,"X",411608
3,"B0000301262281",6,"5/402308-1",1,"165.49000560000",148.752,21.0,"",179.99,179.99,"X",411608
3,"B0000301262281",7,"5/402891-0",1,"827.48680560000",743.7933,21.0,"",899.99,899.99,"X",411608
3,"B0000301262281",8,"5/403240-2",2,"1838.86161120000",826.438,21.0,"",999.99,1999.98,"X",411608
3,"B0000301262281",9,"5/403871-1",2,"330.98001120000",148.752,21.0,"",179.99,359.98,"X",411608
3,"B0000301262281",10,"5/403881-6",1,"735.54280560000",661.1487,21.0,"",799.99,799.99,"X",411608
3,"B0000301262281",11,"4/650251-9",1,"0.01021600000",0.0082,21.0,"",0.01,0.01,"X",411608
3,"B0000301262281",12,"4/8266-7",1,"0.01021600000",0.0082,21.0,"",0.01,0.01,"X",411608
3,"B0000301262281",13,"4/900460-1",1,"0.01021600000",0.0082,21.0,"",0.01,0.01,"X",411608
5,"B0000301262283",1,"1/100049-1",1,"393.30884880000",454.5371,21.0,"",549.99,549.99,"X",418819
5,"B0000301262283",2,"1/100119-7",1,"178.77284880000",206.6033,21.0,"",249.99,249.99,"X",418819
5,"B0000301262283",3,"1/100331-6",1,"235.98244880000",272.719,21.0,"",329.99,329.99,"X",418819
5,"B0000301262283",4,"1/100620-6",1,"286.04084880000",330.5702,21.0,"",399.99,399.99,"X",418819
5,"B0000301262283",5,"1/100657-4",1,"214.52884880000",247.9256,21.0,"",299.99,299.99,"X",418819
5,"B0000301262283",6,"1/100735-0",1,"143.01684880000",165.2809,21.0,"",199.99,199.99,"X",418819
5,"B0000301262283",7,"1/100779-7",1,"214.52884880000",247.9256,21.0,"",299.99,299.99,"X",418819
5,"B0000301262283",8,"1/100781-3",1,"179.28415960000",223.1322,21.0,"",269.99,269.99,"X",418819
5,"B0000301262283",9,"1/100845-3",1,"250.28484880000",289.2479,21.0,"",349.99,349.99,"X",418819
5,"B0000301262283",10,"1/100896-8",1,"336.09924880000",388.4214,21.0,"",469.99,469.99,"X",418819
5,"B0000301262283",11,"1/100902-8",1,"143.01684880000",165.2809,21.0,"",199.99,199.99,"X",418819
5,"B0000301262283",12,"1/100914-6",2,"357.54569760000",206.6033,21.0,"",249.99,499.98,"X",418819
5,"B0000301262283",13,"7/100997-9",1,"165.49000560000",148.752,21.0,"",179.99,179.99,"X",418819
5,"B0000301262283",14,"7/100998-1",1,"478.09960560000",429.7438,21.0,"",519.99,519.99,"X",418819
5,"B0000301262283",15,"3/202599-3",1,"156.29611640000",148.752,21.0,"",179.99,179.99,"X",418819
5,"B0000301262283",16,"4/266-7",2,"0.02043200000",0.0082,21.0,"",0.01,0.02,"X",418819
5,"B0000301262283",17,"5/401129-4",1,"521.00731640000",495.8595,21.0,"",599.99,599.99,"X",418819
5,"B0000301262283",18,"5/402804-7",2,"347.32663280000",165.2809,21.0,"",199.99,399.98,"X",418819
5,"B0000301262283",19,"5/403064-2",1,"347.33531640000",330.5702,21.0,"",399.99,399.99,"X",418819
5,"B0000301262283",20,"5/403537-0",1,"329.96811640000",314.0413,21.0,"",379.99,379.99,"X",418819
5,"B0000301262283",21,"5/403871-1",1,"156.29611640000",148.752,21.0,"",179.99,179.99,"X",418819
5,"B0000301262283",22,"5/403873-6",1,"225.76491640000",214.8677,21.0,"",259.99,259.99,"X",418819
5,"B0000301262283",23,"5/404115-1",1,"130.24531640000",123.9586,21.0,"",149.99,149.99,"X",418819
5,"B0000301262283",24,"5/404124-3",1,"130.24531640000",123.9586,21.0,"",149.99,149.99,"X",418819
5,"B0000301262283",25,"1/54427-1",2,"371.84809760000",214.8677,21.0,"",259.99,519.98,"X",418819
5,"B0000301262283",26,"5/60143-6",1,"390.75331640000",371.8925,21.0,"",449.99,449.99,"X",418819
5,"B0000301262283",27,"4/650251-9",1,"0.01021600000",0.0082,21.0,"",0.01,0.01,"X",418819
5,"B0000301262283",28,"4/8266-7",1,"0.01021600000",0.0082,21.0,"",0.01,0.01,"X",418819
5,"B0000301262283",29,"4/900460-1",1,"0.01021600000",0.0082,21.0,"",0.01,0.01,"X",418819
7,"B0000301262285",1,"1/100119-7",2,"357.54569760000",206.6033,21.0,"",249.99,499.98,"X",424888
7,"B0000301262285",2,"1/100845-3",2,"500.56969760000",289.2479,21.0,"",349.99,699.98,"X",424888
7,"B0000301262285",3,"1/100966-4",1,"214.52884880000",247.9256,21.0,"",299.99,299.99,"X",424888
7,"B0000301262285",4,"7/100998-1",1,"531.22178400000",429.7438,21.0,"",519.99,519.99,"X",424888
7,"B0000301262285",5,"1/13356-3",1,"250.28484880000",289.2479,21.0,"",349.99,349.99,"X",424888
7,"B0000301262285",6,"1/21327-4",1,"235.98244880000",272.719,21.0,"",329.99,329.99,"X",424888
7,"B0000301262285",7,"4/266-7",2,"0.02043200000",0.0082,21.0,"",0.01,0.02,"X",424888
7,"B0000301262285",8,"5/301344-5",1,"217.08131640000",206.6033,21.0,"",249.99,249.99,"X",424888
7,"B0000301262285",9,"5/400122-9",1,"260.49931640000",247.9256,21.0,"",299.99,299.99,"X",424888
7,"B0000301262285",10,"5/401143-0",1,"286.55011640000",272.719,21.0,"",329.99,329.99,"X",424888
7,"B0000301262285",11,"5/403260-1",1,"173.66331640000",165.2809,21.0,"",199.99,199.99,"X",424888
7,"B0000301262285",12,"5/403327-7",2,"607.83463280000",289.2479,21.0,"",349.99,699.98,"X",424888
7,"B0000301262285",13,"5/403372-8",1,"1128.85931640000",1074.3719,21.0,"",1299.99,1299.99,"X",424888
7,"B0000301262285",14,"5/403871-1",1,"156.29611640000",148.752,21.0,"",179.99,179.99,"X",424888
7,"B0000301262285",15,"5/403873-6",1,"225.76491640000",214.8677,21.0,"",259.99,259.99,"X",424888
7,"B0000301262285",16,"5/51469-2",1,"955.18731640000",909.0826,21.0,"",1099.99,1099.99,"X",424888
7,"B0000301262285",17,"1/54430-9",1,"200.22644880000",231.3966,21.0,"",279.99,279.99,"X",424888
7,"B0000301262285",18,"4/650251-9",1,"0.01021600000",0.0082,21.0,"",0.01,0.01,"X",424888
7,"B0000301262285",19,"4/8266-7",1,"0.01021600000",0.0082,21.0,"",0.01,0.01,"X",424888
8,"B0000301262286",1,"1/100119-7",1,"204.31182720000",206.6033,21.0,"",249.99,249.99,"X",430684
8,"B0000301262286",2,"1/100845-3",1,"286.03982720000",289.2479,21.0,"",349.99,349.99,"X",430684
8,"B0000301262286",3,"1/100851-9",1,"269.69422720000",272.719,21.0,"",329.99,329.99,"X",430684
8,"B0000301262286",4,"7/100998-1",1,"531.22178400000",429.7438,21.0,"",519.99,519.99,"X",430684
8,"B0000301262286",5,"1/21311-7",1,"408.63182720000",413.2148,21.0,"",499.99,499.99,"X",430684
8,"B0000301262286",6,"4/266-7",2,"0.02043200000",0.0082,21.0,"",0.01,0.02,"X",430684
8,"B0000301262286",7,"3/402614-3",1,"137.90680560000",123.9586,21.0,"",149.99,149.99,"X",430684
8,"B0000301262286",8,"3/402615-5",1,"137.90680560000",123.9586,21.0,"",149.99,149.99,"X",430684
8,"B0000301262286",9,"3/402739-3",1,"202.26760560000",181.8099,21.0,"",219.99,219.99,"X",430684
8,"B0000301262286",10,"5/402891-0",1,"827.48680560000",743.7933,21.0,"",899.99,899.99,"X",430684
8,"B0000301262286",11,"3/403004-6",1,"202.26760560000",181.8099,21.0,"",219.99,219.99,"X",430684
8,"B0000301262286",12,"5/403515-6",1,"165.49000560000",148.752,21.0,"",179.99,179.99,"X",430684
8,"B0000301262286",13,"1/41240-3",1,"449.49582720000",454.5371,21.0,"",549.99,549.99,"X",430684
8,"B0000301262286",14,"4/650251-9",1,"0.01021600000",0.0082,21.0,"",0.01,0.01,"X",430684
8,"B0000301262286",15,"4/8266-7",1,"0.01021600000",0.0082,21.0,"",0.01,0.01,"X",430684
9,"B0000301262287",1,"1/100785-3",1,"351.42222720000",355.3636,21.0,"",429.99,429.99,"X",458300
9,"B0000301262287",2,"7/100998-1",1,"531.22178400000",429.7438,21.0,"",519.99,519.99,"X",458300
9,"B0000301262287",3,"1/100999-4",1,"326.90382720000",330.5702,21.0,"",399.99,399.99,"X",458300
9,"B0000301262287",4,"1/13347-1",1,"286.03982720000",289.2479,21.0,"",349.99,349.99,"X",458300
9,"B0000301262287",5,"5/203260-2",1,"137.90680560000",123.9586,21.0,"",149.99,149.99,"X",458300
9,"B0000301262287",6,"5/203265-3",1,"137.90680560000",123.9586,21.0,"",149.99,149.99,"X",458300
9,"B0000301262287",7,"1/21311-7",1,"408.63182720000",413.2148,21.0,"",499.99,499.99,"X",458300
9,"B0000301262287",8,"4/266-7",1,"0.01021600000",0.0082,21.0,"",0.01,0.01,"X",458300
9,"B0000301262287",9,"5/301718-6",1,"257.43400560000",231.3966,21.0,"",279.99,279.99,"X",458300
9,"B0000301262287",10,"5/401129-4",1,"551.65480560000",495.8595,21.0,"",599.99,599.99,"X",458300
9,"B0000301262287",11,"5/402310-8",1,"165.49000560000",148.752,21.0,"",179.99,179.99,"X",458300
9,"B0000301262287",12,"5/403535-6",1,"294.21160560000",264.4545,21.0,"",319.99,319.99,"X",458300
9,"B0000301262287",13,"5/403871-1",1,"165.49000560000",148.752,21.0,"",179.99,179.99,"X",458300
9,"B0000301262287",14,"1/41238-7",1,"408.63182720000",413.2148,21.0,"",499.99,499.99,"X",458300
9,"B0000301262287",15,"1/54427-1",1,"212.48462720000",214.8677,21.0,"",259.99,259.99,"X",458300
9,"B0000301262287",16,"4/650251-9",1,"0.01021600000",0.0082,21.0,"",0.01,0.01,"X",458300
9,"B0000301262287",17,"4/8266-7",1,"0.01021600000",0.0082,21.0,"",0.01,0.01,"X",458300
9,"B0000301262287",18,"4/900460-1",1,"0.01021600000",0.0082,21.0,"",0.01,0.01,"X",458300
10,"B0000301262288",1,"1/100119-7",1,"204.31182720000",206.6033,21.0,"",249.99,249.99,"X",527369
10,"B0000301262288",2,"1/100852-1",1,"490.35982720000",495.8595,21.0,"",599.99,599.99,"X",527369
10,"B0000301262288",3,"1/100883-7",1,"220.65742720000",223.1322,21.0,"",269.99,269.99,"X",527369
10,"B0000301262288",4,"7/100998-1",1,"531.22178400000",429.7438,21.0,"",519.99,519.99,"X",527369
10,"B0000301262288",5,"4/266-7",2,"0.02043200000",0.0082,21.0,"",0.01,0.02,"X",527369
10,"B0000301262288",6,"5/400594-1",1,"330.98920560000",297.5123,21.0,"",359.99,359.99,"X",527369
10,"B0000301262288",7,"5/402284-9",1,"183.87880560000",165.2809,21.0,"",199.99,199.99,"X",527369
10,"B0000301262288",8,"5/402310-8",1,"165.49000560000",148.752,21.0,"",179.99,179.99,"X",527369
10,"B0000301262288",9,"5/403336-0",1,"156.29560560000",140.4876,21.0,"",169.99,169.99,"X",527369
10,"B0000301262288",10,"5/403514-4",1,"165.49000560000",148.752,21.0,"",179.99,179.99,"X",527369
10,"B0000301262288",11,"5/403882-8",1,"735.54280560000",661.1487,21.0,"",799.99,799.99,"X",527369
10,"B0000301262288",12,"5/403900-7",1,"367.76680560000",330.5702,21.0,"",399.99,399.99,"X",527369
10,"B0000301262288",13,"5/403902-1",1,"459.71080560000",413.2148,21.0,"",499.99,499.99,"X",527369
10,"B0000301262288",14,"1/54427-1",1,"212.48462720000",214.8677,21.0,"",259.99,259.99,"X",527369
10,"B0000301262288",15,"4/650251-9",1,"0.01021600000",0.0082,21.0,"",0.01,0.01,"X",527369
10,"B0000301262288",16,"4/8266-7",1,"0.01021600000",0.0082,21.0,"",0.01,0.01,"X",527369
10,"B0000301262288",17,"4/900460-1",1,"0.01021600000",0.0082,21.0,"",0.01,0.01,"X",527369
11,"B0000301262289",1,"1/100832-2",3,"579.22574640000",223.1322,21.0,"",269.99,809.97,"X",527439
11,"B0000301262289",2,"1/100896-8",1,"336.09924880000",388.4214,21.0,"",469.99,469.99,"X",527439
11,"B0000301262289",3,"7/100996-7",1,"358.57240560000",322.3057,21.0,"",389.99,389.99,"X",527439
11,"B0000301262289",4,"7/100998-1",1,"478.09960560000",429.7438,21.0,"",519.99,519.99,"X",527439
11,"B0000301262289",5,"5/202051-2",1,"1476.20331640000",1404.9504,21.0,"",1699.99,1699.99,"X",527439
11,"B0000301262289",6,"4/266-7",2,"0.02043200000",0.0082,21.0,"",0.01,0.02,"X",527439
11,"B0000301262289",7,"1/32435-5",1,"250.28484880000",289.2479,21.0,"",349.99,349.99,"X",527439
11,"B0000301262289",8,"5/400756-5",1,"329.96811640000",314.0413,21.0,"",379.99,379.99,"X",527439
11,"B0000301262289",9,"5/4010-4",1,"434.17131640000",413.2148,21.0,"",499.99,499.99,"X",527439
11,"B0000301262289",10,"5/402307-9",1,"156.29611640000",148.752,21.0,"",179.99,179.99,"X",527439
11,"B0000301262289",11,"5/402891-0",2,"1563.03063280000",743.7933,21.0,"",899.99,1799.98,"X",527439
11,"B0000301262289",12,"8/403376-8",1,"255.38978400000",206.6033,21.0,"",249.99,249.99,"X",527439
11,"B0000301262289",13,"5/403381-2",2,"607.83463280000",289.2479,21.0,"",349.99,699.98,"X",527439
11,"B0000301262289",14,"5/403599-1",1,"130.24531640000",123.9586,21.0,"",149.99,149.99,"X",527439
11,"B0000301262289",15,"7/403738-0",1,"211.46200560000",190.0743,21.0,"",229.99,229.99,"X",527439
11,"B0000301262289",16,"5/403739-2",2,"642.56903280000",305.7768,21.0,"",369.99,739.98,"X",527439
11,"B0000301262289",17,"5/404124-3",1,"130.24531640000",123.9586,21.0,"",149.99,149.99,"X",527439
11,"B0000301262289",18,"1/41334-7",1,"393.30884880000",454.5371,21.0,"",549.99,549.99,"X",527439
11,"B0000301262289",19,"1/54427-1",1,"185.92404880000",214.8677,21.0,"",259.99,259.99,"X",527439
11,"B0000301262289",20,"1/54430-9",1,"200.22644880000",231.3966,21.0,"",279.99,279.99,"X",527439
11,"B0000301262289",21,"4/650251-9",1,"0.01021600000",0.0082,21.0,"",0.01,0.01,"X",527439
11,"B0000301262289",22,"9/650258-4",1,"117.48400000000",95.0413,21.0,"",115.0,115.0,"X",527439
11,"B0000301262289",23,"4/8266-7",1,"0.01021600000",0.0082,21.0,"",0.01,0.01,"X",527439
12,"B0000301262290",1,"1/100914-6",2,"408.62365440000",206.6033,21.0,"",249.99,499.98,"X",536046
12,"B0000301262290",2,"7/100998-1",1,"531.22178400000",429.7438,21.0,"",519.99,519.99,"X",536046
12,"B0000301262290",3,"7/101001-6",1,"357.54978400000",289.2479,21.0,"",349.99,349.99,"X",536046
12,"B0000301262290",4,"1/13363-1",2,"490.35165440000",247.9256,21.0,"",299.99,599.98,"X",536046
12,"B0000301262290",5,"4/266-7",1,"0.01021600000",0.0082,21.0,"",0.01,0.01,"X",536046
12,"B0000301262290",6,"5/403426-4",2,"845.86641120000",380.157,21.0,"",459.99,919.98,"X",536046
12,"B0000301262290",7,"5/403676-5",1,"211.46200560000",190.0743,21.0,"",229.99,229.99,"X",536046
12,"B0000301262290",8,"5/403870-9",2,"330.98001120000",148.752,21.0,"",179.99,359.98,"X",536046
12,"B0000301262290",9,"4/650251-9",1,"0.01021600000",0.0082,21.0,"",0.01,0.01,"X",536046
12,"B0000301262290",10,"4/8266-7",1,"0.01021600000",0.0082,21.0,"",0.01,0.01,"X",536046
12,"B0000301262290",11,"4/900460-1",1,"0.01021600000",0.0082,21.0,"",0.01,0.01,"X",536046
13,"B0000301262291",1,"1/100642-9",1,"310.55822720000",314.0413,21.0,"",379.99,379.99,"X",539737
13,"B0000301262291",2,"1/100657-4",1,"245.17582720000",247.9256,21.0,"",299.99,299.99,"X",539737
13,"B0000301262291",3,"1/100781-3",1,"220.65742720000",223.1322,21.0,"",269.99,269.99,"X",539737
13,"B0000301262291",4,"1/100914-6",1,"204.31182720000",206.6033,21.0,"",249.99,249.99,"X",539737
13,"B0000301262291",5,"7/100998-1",1,"531.22178400000",429.7438,21.0,"",519.99,519.99,"X",539737
13,"B0000301262291",6,"1/21382-0",1,"310.55822720000",314.0413,21.0,"",379.99,379.99,"X",539737
